split,family,task,source_id,review_status,system,user,assistant,approved,review_note
train,work,rewrite_malmo_medium,work-01,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag förstår inte varför mötet blev inställt.,Jag fattar inte varför de bara ställde in mötet.,,
train,work,neutralize,work-01,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag fattar inte varför de bara ställde in mötet.,Jag förstår inte varför mötet blev inställt.,,
train,work,rewrite_slang,work-02,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Det är svårt att få ett tydligt besked.,Det är svårt att få ett vettigt besked.,,
train,work,rewrite_malmo_mild,work-02,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Det är svårt att få ett tydligt besked.,Det är rätt svårt att få ett tydligt besked.,,
train,work,rewrite_malmo_medium,work-02,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Det är svårt att få ett tydligt besked.,Det är ett jäkla klydd att få ett tydligt besked.,,
train,work,neutralize,work-02,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Det är ett jäkla klydd att få ett tydligt besked.,Det är svårt att få ett tydligt besked.,,
train,work,rewrite_slang,work-03,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Jag hinner inte färdigställa rapporten i dag.,Jag hinner inte bli klar med rapporten i dag.,,
train,work,rewrite_malmo_mild,work-03,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Jag hinner inte färdigställa rapporten i dag.,Jag hinner inte få klart rapporten i dag.,,
train,work,rewrite_malmo_medium,work-03,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag hinner inte färdigställa rapporten i dag.,Jag kommer inte hinna få klart rapporten i dag.,,
train,work,neutralize,work-03,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag kommer inte hinna få klart rapporten i dag.,Jag hinner inte färdigställa rapporten i dag.,,
train,work,rewrite_slang,work-04,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",De ändrade planen utan att informera oss.,De ändrade planen utan att säga något till oss.,,
train,work,rewrite_malmo_mild,work-04,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",De ändrade planen utan att informera oss.,De ändrade planen utan att säga till oss.,,
train,work,rewrite_malmo_medium,work-04,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",De ändrade planen utan att informera oss.,De bara ändrade planen utan att säga ett ord till oss.,,
train,work,neutralize,work-04,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",De bara ändrade planen utan att säga ett ord till oss.,De ändrade planen utan att informera oss.,,
train,work,rewrite_slang,work-05,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Systemet fungerar inte efter uppdateringen.,Systemet funkar inte efter uppdateringen.,,
train,work,rewrite_malmo_mild,work-05,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Systemet fungerar inte efter uppdateringen.,Systemet funkar inte sen uppdateringen.,,
train,work,rewrite_malmo_medium,work-05,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Systemet fungerar inte efter uppdateringen.,Systemet funkar inte alls efter uppdateringen.,,
train,work,neutralize,work-05,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Systemet funkar inte alls efter uppdateringen.,Systemet fungerar inte efter uppdateringen.,,
train,work,rewrite_slang,work-06,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Jag behöver mer tid för att kontrollera resultatet.,Jag behöver mer tid för att kolla resultatet.,,
train,work,rewrite_malmo_mild,work-06,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Jag behöver mer tid för att kontrollera resultatet.,Jag behöver lite mer tid för att kolla resultatet.,,
train,work,rewrite_malmo_medium,work-06,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag behöver mer tid för att kontrollera resultatet.,Jag behöver mer tid så jag kan kolla resultatet ordentligt.,,
train,work,neutralize,work-06,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag behöver mer tid så jag kan kolla resultatet ordentligt.,Jag behöver mer tid för att kontrollera resultatet.,,
train,work,chat_malmo_mild,work-chat-01,synthetic_needs_review,"Svara kort, hjälpsamt och naturligt på mild modern malmöitisk vardagssvenska. Hitta inte på fakta och använd inte dialektmarkörer i varje mening.",Hur säger jag att jag behöver mer tid?,Säg tydligt att du behöver mer tid för att kontrollera resultatet ordentligt.,,
train,work,chat_malmo_medium,work-chat-01,synthetic_needs_review,Svara kort och konkret på modern malmöitisk vardagssvenska. Tonen får vara urban och avslappnad men inte stereotyp. Hitta inte på fakta.,Hur säger jag att jag behöver mer tid?,Säg rakt att du behöver mer tid så du kan kolla resultatet ordentligt.,,
train,work,chat_malmo_mild,work-chat-02,synthetic_needs_review,"Svara kort, hjälpsamt och naturligt på mild modern malmöitisk vardagssvenska. Hitta inte på fakta och använd inte dialektmarkörer i varje mening.",Mötet blev inställt utan förklaring.,Be om ett nytt besked och fråga varför mötet ställdes in.,,
train,work,chat_malmo_medium,work-chat-02,synthetic_needs_review,Svara kort och konkret på modern malmöitisk vardagssvenska. Tonen får vara urban och avslappnad men inte stereotyp. Hitta inte på fakta.,Mötet blev inställt utan förklaring.,Fråga vad som hände och när ni får ett nytt besked.,,
train,shopping,rewrite_slang,shopping-01,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Det blev mycket dyrare än jag hade räknat med.,Det blev svindyrt jämfört med vad jag hade räknat med.,,
train,shopping,rewrite_malmo_mild,shopping-01,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Det blev mycket dyrare än jag hade räknat med.,Det blev mycket dyrare än jag trodde.,,
train,shopping,rewrite_malmo_medium,shopping-01,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Det blev mycket dyrare än jag hade räknat med.,Det blev svindyrt jämfört med vad jag hade tänkt.,,
train,shopping,neutralize,shopping-01,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Det blev svindyrt jämfört med vad jag hade tänkt.,Det blev mycket dyrare än jag hade räknat med.,,
train,shopping,rewrite_slang,shopping-02,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Jag tänker inte köpa den utan garanti.,"Jag tänker inte köpa den utan garanti, glöm det.",,
train,shopping,rewrite_malmo_mild,shopping-02,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Jag tänker inte köpa den utan garanti.,Jag köper den inte utan garanti.,,
train,shopping,rewrite_malmo_medium,shopping-02,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag tänker inte köpa den utan garanti.,"Nä, jag köper inte den där utan garanti.",,
train,shopping,neutralize,shopping-02,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.","Nä, jag köper inte den där utan garanti.",Jag tänker inte köpa den utan garanti.,,
train,shopping,rewrite_slang,shopping-03,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Priset stämmer inte med annonsen.,Priset matchar inte annonsen.,,
train,shopping,rewrite_malmo_mild,shopping-03,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Priset stämmer inte med annonsen.,Priset stämmer ju inte med annonsen.,,
train,shopping,rewrite_malmo_medium,shopping-03,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Priset stämmer inte med annonsen.,Priset är inte ens samma som i annonsen.,,
train,shopping,neutralize,shopping-03,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Priset är inte ens samma som i annonsen.,Priset stämmer inte med annonsen.,,
train,shopping,rewrite_slang,shopping-04,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Varan såg bättre ut på bilden.,Grejen såg bättre ut på bilden.,,
train,shopping,rewrite_malmo_mild,shopping-04,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Varan såg bättre ut på bilden.,Den såg bättre ut på bilden.,,
train,shopping,rewrite_malmo_medium,shopping-04,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Varan såg bättre ut på bilden.,Den där såg klart bättre ut på bilden.,,
train,shopping,neutralize,shopping-04,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Den där såg klart bättre ut på bilden.,Varan såg bättre ut på bilden.,,
train,shopping,rewrite_slang,shopping-05,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Jag vill kontrollera skicket innan jag betalar.,Jag vill kolla skicket innan jag betalar.,,
train,shopping,rewrite_malmo_mild,shopping-05,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Jag vill kontrollera skicket innan jag betalar.,Jag vill kolla hur den ser ut innan jag betalar.,,
train,shopping,rewrite_malmo_medium,shopping-05,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag vill kontrollera skicket innan jag betalar.,"Jag vill se skicket först, sen kan jag betala.",,
train,shopping,neutralize,shopping-05,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.","Jag vill se skicket först, sen kan jag betala.",Jag vill kontrollera skicket innan jag betalar.,,
train,shopping,rewrite_slang,shopping-06,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Frakten kostar nästan lika mycket som varan.,Frakten kostar nästan lika mycket som själva grejen.,,
train,shopping,rewrite_malmo_mild,shopping-06,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Frakten kostar nästan lika mycket som varan.,Frakten kostar nästan lika mycket som varan.,,
train,shopping,rewrite_malmo_medium,shopping-06,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Frakten kostar nästan lika mycket som varan.,Frakten kostar ju nästan lika mycket som hela grejen.,,
train,shopping,neutralize,shopping-06,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Frakten kostar ju nästan lika mycket som hela grejen.,Frakten kostar nästan lika mycket som varan.,,
train,shopping,chat_malmo_mild,shopping-chat-01,synthetic_needs_review,"Svara kort, hjälpsamt och naturligt på mild modern malmöitisk vardagssvenska. Hitta inte på fakta och använd inte dialektmarkörer i varje mening.",Säljaren vill inte visa kvittot.,Då bör du vara försiktig och inte betala innan du har fått tillräckliga uppgifter.,,
train,shopping,chat_malmo_medium,shopping-chat-01,synthetic_needs_review,Svara kort och konkret på modern malmöitisk vardagssvenska. Tonen får vara urban och avslappnad men inte stereotyp. Hitta inte på fakta.,Säljaren vill inte visa kvittot.,Då hade jag varit försiktig. Betala inte innan du fått vettiga uppgifter.,,
train,shopping,chat_malmo_mild,shopping-chat-02,synthetic_needs_review,"Svara kort, hjälpsamt och naturligt på mild modern malmöitisk vardagssvenska. Hitta inte på fakta och använd inte dialektmarkörer i varje mening.",Är den värd priset?,"Det går inte att avgöra utan modell, skick och prisjämförelse.",,
train,shopping,chat_malmo_medium,shopping-chat-02,synthetic_needs_review,Svara kort och konkret på modern malmöitisk vardagssvenska. Tonen får vara urban och avslappnad men inte stereotyp. Hitta inte på fakta.,Är den värd priset?,"Svårt att säga utan modell, skick och vad andra tar för den.",,
train,food,rewrite_slang,food-01,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Maten är fortfarande inte klar.,Maten är fortfarande inte färdig.,,
train,food,rewrite_malmo_mild,food-01,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Maten är fortfarande inte klar.,Maten är fortfarande inte klar.,,
train,food,rewrite_malmo_medium,food-01,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Maten är fortfarande inte klar.,"Maten är fortfarande inte klar, alltså.",,
train,food,neutralize,food-01,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.","Maten är fortfarande inte klar, alltså.",Maten är fortfarande inte klar.,,
train,food,rewrite_slang,food-02,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Jag är mycket hungrig efter träningen.,Jag är skithungrig efter träningen.,,
train,food,rewrite_malmo_mild,food-02,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Jag är mycket hungrig efter träningen.,Jag är riktigt hungrig efter träningen.,,
train,food,rewrite_malmo_medium,food-02,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag är mycket hungrig efter träningen.,Jag är vrålhungrig efter träningen.,,
train,food,neutralize,food-02,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag är vrålhungrig efter träningen.,Jag är mycket hungrig efter träningen.,,
train,food,rewrite_slang,food-03,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Det här kaffet smakar mycket svagt.,Det här kaffet smakar typ ingenting.,,
train,food,rewrite_malmo_mild,food-03,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Det här kaffet smakar mycket svagt.,Det här kaffet är riktigt svagt.,,
